city_name,month,total_passengers,repeat_passengers,monthly_repeat_passenger_rate,city_repeat_passenger_rate
Chandigarh,February,4957,853,17.21,21.14
Chandigarh,January,4640,720,15.52,21.14
Chandigarh,June,3297,867,26.30,21.14
Chandigarh,April,3285,789,24.02,21.14
Chandigarh,March,4100,872,21.27,21.14
Chandigarh,May,3699,969,26.20,21.14
Coimbatore,February,1993,346,17.36,23.05
Coimbatore,April,1722,480,27.87,23.05
Coimbatore,January,2214,392,17.71,23.05
Coimbatore,March,1965,427,21.73,23.05
Coimbatore,May,1543,504,32.66,23.05
Coimbatore,June,1628,402,24.69,23.05
Indore,May,3591,1563,43.53,32.68
Indore,January,3876,1033,26.65,32.68
Indore,April,3646,1295,35.52,32.68
Indore,February,3981,1103,27.71,32.68
Indore,March,3833,1091,28.46,32.68
Indore,June,3152,1131,35.88,32.68
Jaipur,February,12450,1661,13.34,17.43
Jaipur,April,7856,1736,22.10,17.43
Jaipur,March,9257,1840,19.88,17.43
Jaipur,May,7174,1842,25.68,17.43
Jaipur,June,6956,1181,16.98,17.43
Jaipur,January,11845,1422,12.01,17.43
Kochi,May,6222,1853,29.78,22.40
Kochi,January,5660,795,14.05,22.40
Kochi,April,6515,1576,24.19,22.40
Kochi,March,6213,1348,21.70,22.40
Kochi,February,5372,1005,18.71,22.40
Kochi,June,4060,1049,25.84,22.40
Lucknow,June,3698,1727,46.70,37.12
Lucknow,January,4896,1431,29.23,37.12
Lucknow,April,3807,1496,39.30,37.12
Lucknow,March,4781,1622,33.93,37.12
Lucknow,February,5188,1659,31.98,37.12
Lucknow,May,3487,1662,47.66,37.12
Mysore,April,2072,236,11.39,11.23
Mysore,June,2203,329,14.93,11.23
Mysore,May,2270,349,15.37,11.23
Mysore,January,2129,172,8.08,11.23
Mysore,March,2194,208,9.48,11.23
Mysore,February,2290,183,7.99,11.23
Surat,May,3217,1606,49.92,42.63
Surat,April,3394,1551,45.70,42.63
Surat,January,3616,1184,32.74,42.63
Surat,March,3440,1494,43.43,42.63
Surat,February,3567,1313,36.81,42.63
Surat,June,3030,1490,49.17,42.63
Vadodara,May,2256,868,38.48,30.03
Vadodara,January,2633,544,20.66,30.03
Vadodara,April,2499,862,34.49,30.03
Vadodara,March,2522,759,30.10,30.03
Vadodara,June,1807,703,38.90,30.03
Vadodara,February,2756,610,22.13,30.03
Visakhapatnam,March,3093,923,29.84,28.61
Visakhapatnam,June,2702,802,29.68,28.61
Visakhapatnam,January,3163,650,20.55,28.61
Visakhapatnam,April,2837,992,34.97,28.61
Visakhapatnam,May,2890,951,32.91,28.61
Visakhapatnam,February,3170,790,24.92,28.61
